"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","CASTLE GREEN","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1993","Resale","1","1130000","-","1216","Strata","06 to 10","929","Dec-2020"
"2","CANBERRA RESIDENCES","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","1540000","-","1938","Strata","01 to 05","795","Dec-2020"
"3","YISHUN SAPPHIRE","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","1070000","-","1378","Strata","11 to 15","777","Dec-2020"
"4","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","755000","-","958","Strata","11 to 15","788","Dec-2020"
"5","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","945000","-","1378","Strata","11 to 15","686","Dec-2020"
"6","CASTLE GREEN","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1993","Resale","1","850000","-","947","Strata","06 to 10","897","Dec-2020"
"7","THE NAUTICAL","JALAN SENDUDOK","Condominium","27","OCR","99 yrs lease commencing from 2011","Resale","1","552000","-","441","Strata","01 to 05","1251","Dec-2020"
"8","SELETARIS","SEMBAWANG ROAD","Condominium","27","OCR","Freehold","Resale","1","965000","-","1163","Strata","01 to 05","830","Dec-2020"
"9","THE WISTERIA","YISHUN RING ROAD","Apartment","27","OCR","99 yrs lease commencing from 2015","Sub Sale","1","1265000","-","1173","Strata","01 to 05","1078","Dec-2020"
"10","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","970000","-","732","Strata","01 to 05","1325","Dec-2020"
"11","MEADOWS @ PEIRCE","UPPER THOMSON ROAD","Condominium","26","OCR","Freehold","Resale","1","1580000","-","1195","Strata","11 to 15","1322","Dec-2020"
"12","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","648000","-","538","Strata","01 to 05","1204","Dec-2020"
"13","SELETAR SPRINGS CONDOMINIUM","GERALD DRIVE","Condominium","28","OCR","99 yrs lease commencing from 1997","Resale","1","1260000","-","1582","Strata","01 to 05","796","Dec-2020"
"14","H2O RESIDENCES","FERNVALE LINK","Condominium","28","OCR","99 yrs lease commencing from 2010","Resale","1","850000","-","883","Strata","01 to 05","963","Dec-2020"
"15","EIGHT COURTYARDS","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","1200000","-","1152","Strata","11 to 15","1042","Dec-2020"
"16","THE GREENWICH","SELETAR ROAD","Condominium","28","OCR","99 yrs lease commencing from 2009","Resale","1","870000","-","904","Strata","01 to 05","962","Dec-2020"
"17","THE MILTONIA RESIDENCES","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","1030000","-","1173","Strata","01 to 05","878","Dec-2020"
"18","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","875000","-","710","Strata","16 to 20","1232","Dec-2020"
"19","THE ESTUARY","YISHUN AVENUE 1","Condominium","27","OCR","99 yrs lease commencing from 2008","Resale","1","1580000","-","1528","Strata","11 to 15","1034","Dec-2020"
"20","EIGHT COURTYARDS","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","530000","-","549","Strata","01 to 05","965","Dec-2020"
"21","THE MILTONIA RESIDENCES","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","950000","-","1023","Strata","01 to 05","929","Dec-2020"
"22","THE CALROSE","YIO CHU KANG ROAD","Condominium","26","OCR","Freehold","Resale","1","1330000","-","969","Strata","01 to 05","1373","Dec-2020"
"23","CASTLE GREEN","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1993","Resale","1","825000","-","947","Strata","06 to 10","871","Dec-2020"
"24","THE MILTONIA RESIDENCES","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","888000","-","990","Strata","01 to 05","897","Nov-2020"
"25","THE WISTERIA","YISHUN RING ROAD","Apartment","27","OCR","99 yrs lease commencing from 2015","Sub Sale","1","555000","-","441","Strata","06 to 10","1258","Nov-2020"
"26","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","1150000","-","1055","Strata","11 to 15","1090","Nov-2020"
"27","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","958200","-","807","Strata","01 to 05","1187","Nov-2020"
"28","SELETAR SPRINGS CONDOMINIUM","GERALD DRIVE","Condominium","28","OCR","99 yrs lease commencing from 1997","Resale","1","960000","-","1335","Strata","01 to 05","719","Nov-2020"
"29","RIVERTREES RESIDENCES","FERNVALE CLOSE","Apartment","28","OCR","99 yrs lease commencing from 2013","Resale","1","790000","-","721","Strata","16 to 20","1095","Nov-2020"
"30","THE CALROSE","YIO CHU KANG ROAD","Condominium","26","OCR","Freehold","Resale","1","2368000","-","2185","Strata","01 to 05","1084","Nov-2020"
"31","THE ESSENCE","CHONG KUO ROAD","Apartment","26","OCR","99 yrs lease commencing from 2018","New Sale","1","1663000","-","1259","Strata","01 to 05","1320","Nov-2020"
"32","SUNRISE GARDENS","SUNRISE AVENUE","Condominium","28","OCR","99 yrs lease commencing from 1995","Resale","1","795000","-","1033","Strata","01 to 05","769","Nov-2020"
"33","H2O RESIDENCES","FERNVALE LINK","Condominium","28","OCR","99 yrs lease commencing from 2010","Resale","1","1550000","-","1593","Strata","01 to 05","973","Nov-2020"
"34","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","755000","-","592","Strata","21 to 25","1275","Nov-2020"
"35","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","778000","-","689","Strata","16 to 20","1129","Nov-2020"
"36","YISHUN SAPPHIRE","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","1020000","-","1324","Strata","11 to 15","770","Nov-2020"
"37","MEADOWS @ PEIRCE","UPPER THOMSON ROAD","Condominium","26","OCR","Freehold","Resale","1","2680000","-","2680","Strata","01 to 05","1000","Nov-2020"
"38","BULLION PARK","LENTOR LOOP","Condominium","26","OCR","Freehold","Resale","1","1290000","-","1259","Strata","01 to 05","1024","Nov-2020"
"39","THOMSON GROVE","YIO CHU KANG ROAD","Condominium","26","OCR","Freehold","Resale","1","1800000","-","1485","Strata","01 to 05","1212","Nov-2020"
"40","SEASONS PARK","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1995","Resale","1","850000","-","1044","Strata","06 to 10","814","Nov-2020"
"41","THE ESTUARY","YISHUN AVENUE 1","Condominium","27","OCR","99 yrs lease commencing from 2008","Resale","1","865000","-","926","Strata","11 to 15","934","Nov-2020"
"42","RIVERTREES RESIDENCES","FERNVALE CLOSE","Apartment","28","OCR","99 yrs lease commencing from 2013","Resale","1","1500000","-","1270","Strata","21 to 25","1181","Nov-2020"
"43","EIGHT COURTYARDS","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","885888","-","861","Strata","11 to 15","1029","Nov-2020"
"44","SELETARIS","SEMBAWANG ROAD","Condominium","27","OCR","Freehold","Resale","1","1200000","-","1346","Strata","01 to 05","892","Nov-2020"
"45","THE ESTUARY","YISHUN AVENUE 1","Condominium","27","OCR","99 yrs lease commencing from 2008","Resale","1","1440000","-","1528","Strata","01 to 05","942","Nov-2020"
"46","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","1050000","-","1399","Strata","06 to 10","750","Nov-2020"
"47","BULLION PARK","LENTOR LOOP","Condominium","26","OCR","Freehold","Resale","1","1435000","-","1238","Strata","11 to 15","1159","Nov-2020"
"48","KANDIS RESIDENCE","KANDIS LINK","Condominium","27","OCR","99 yrs lease commencing from 2016","New Sale","1","956400","-","797","Strata","01 to 05","1201","Nov-2020"
"49","CASTLE GREEN","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1993","Resale","1","885000","-","1130","Strata","01 to 05","783","Nov-2020"
"50","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","1380000","-","1238","Strata","06 to 10","1115","Nov-2020"
"51","THE MILTONIA RESIDENCES","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","1138888","-","1141","Strata","01 to 05","998","Nov-2020"
"52","THE ESSENCE","CHONG KUO ROAD","Apartment","26","OCR","99 yrs lease commencing from 2018","New Sale","1","826870","-","689","Strata","01 to 05","1200","Nov-2020"
"53","SELETARIS","SEMBAWANG ROAD","Condominium","27","OCR","Freehold","Resale","1","1215000","-","1346","Strata","01 to 05","903","Nov-2020"
"54","ORCHID PARK CONDOMINIUM","YISHUN STREET 81","Condominium","27","OCR","99 yrs lease commencing from 1991","Resale","1","820000","-","1141","Strata","06 to 10","719","Nov-2020"
"55","THE ESSENCE","CHONG KUO ROAD","Apartment","26","OCR","99 yrs lease commencing from 2018","New Sale","1","1670000","-","1227","Strata","01 to 05","1361","Nov-2020"
"56","THE CALROSE","YIO CHU KANG ROAD","Condominium","26","OCR","Freehold","Resale","1","1608000","-","1302","Strata","01 to 05","1235","Nov-2020"
"57","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","1680000","-","1421","Strata","16 to 20","1182","Nov-2020"
"58","RIVERTREES RESIDENCES","FERNVALE CLOSE","Apartment","28","OCR","99 yrs lease commencing from 2013","Resale","1","848888","-","700","Strata","11 to 15","1213","Nov-2020"
"59","THE ESSENCE","CHONG KUO ROAD","Apartment","26","OCR","99 yrs lease commencing from 2018","New Sale","1","969200","-","786","Strata","01 to 05","1233","Nov-2020"
"60","H2O RESIDENCES","FERNVALE LINK","Condominium","28","OCR","99 yrs lease commencing from 2010","Resale","1","1248000","-","1130","Strata","16 to 20","1104","Nov-2020"
"61","SEASONS PARK","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1995","Resale","1","1450000","-","1550","Strata","11 to 15","935","Nov-2020"
"62","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","783000","-","689","Strata","16 to 20","1137","Nov-2020"
